FECHA;HORA;ACTIVIDAD;TIPO
12/8/2026;06:00;sueño;productivo
12/8/2026;06:30;Levantarse;productivo
12/8/2026;07:00;Desayunar;productivo
12/8/2026;07:20;caminar a la U;productivo
12/8/2026;08:30;clases;productivo
12/8/2026;11:45;clases concluidas;no productivo
12/8/2026;13:30;llegar a casa;no productivo
12/8/2026;14:00;almuerzo;productivo
12/8/2026;16:30;cuidar a mi perrita;productivo
12/8/2026;18:00;limpieza de casa;productivo
12/8/2026;19:00;tomar tecito;productivo
12/8/2026;20:30;repasar mis estudios;productivo
12/8/2026;22:00;alistarme para dormir;productivo
13/8/2026;06:00;sueño;productivo
13/8/2026;06:30;Levantarse;productivo
13/8/2026;07:00;Desayunar;productivo
13/8/2026;07:20;caminar a la U;productivo
13/8/2026;08:30;clases;productivo
13/8/2026;11:45;clases concluidas;no productivo
13/8/2026;13:30;llegar a casa;no productivo
13/8/2026;14:00;almuerzo;productivo
13/8/2026;16:30;cuidar a mi perrita;productivo
13/8/2026;18:00;limpieza de casa;productivo
13/8/2026;19:00;tomar tecito;productivo
13/8/2026;20:30;repasar mis estudios;productivo
13/8/2026;22:00;alistarme para dormir;productivo
14/8/2026;06:00;sueño;productivo
14/8/2026;06:30;Levantarse;productivo
14/8/2026;07:00;Desayunar;productivo
14/8/2026;07:20;caminar a la U;productivo
14/8/2026;08:30;clases;productivo
14/8/2026;11:45;clases concluidas;no productivo
14/8/2026;13:30;llegar a casa;no productivo
14/8/2026;14:00;almuerzo;productivo
14/8/2026;16:30;cuidar a mi perrita;productivo
14/8/2026;18:00;limpieza de casa;productivo
14/8/2026;19:00;tomar tecito;productivo
14/8/2026;20:30;repasar mis estudios;productivo
14/8/2026;22:00;alistarme para dormir;productivo
15/8/2026;06:00;sueño;productivo
15/8/2026;06:30;Levantarse;productivo
15/8/2026;07:00;Desayunar;productivo
15/8/2026;07:20;ordenar cama;productivo
15/8/2026;08:20;ayudar a mamá;productivo
15/8/2026;10:00;cocinar;productivo
15/8/2026;13:30;almuerzo;productivo
15/8/2026;14:00;cuidar a mi perrita;no productivo
15/8/2026;16:30;limpieza de casa;productivo
15/8/2026;18:00;ordenar la ropa;productivo
15/8/2026;18:30;tomar tecito;productivo
15/8/2026;19:00;cuidar a mi perrita;productivo
15/8/2026;20:30;repasar mis estudios;productivo
15/8/2026;22:00;dormir;productivo
16/8/2026;06:00;sueño;productivo
16/8/2026;06:30;Levantarse;productivo
16/8/2026;07:00;Desayunar;productivo
16/8/2026;07:15;caminar a la iglesia;no productivo
16/8/2026;07:45;iglesia;productivo
16/8/2026;13:30;almuerzo;productivo
16/8/2026;14:00;cuidar a mi perrita;productivo
16/8/2026;16:30;visita a un amigo;no productivo
16/8/2026;18:00;cuidar a mi perrita;productivo
16/8/2026;18:30;tomar tecito;productivo
16/8/2026;19:00;cuidar a mi perrita;productivo
16/8/2026;20:30;repasar mis estudios;productivo
16/8/2026;22:00;dormir;productivo
17/8/2026;06:00;sueño;productivo
17/8/2026;06:30;Levantarse;productivo
17/8/2026;07:00;Desayunar;productivo
17/8/2026;07:20;caminar a la U;productivo
17/8/2026;08:30;clases;productivo
17/8/2026;11:45;clases concluidas;no productivo
17/8/2026;13:30;llegar a casa;no productivo
17/8/2026;14:00;almuerzo;productivo
17/8/2026;16:30;cuidar a mi perrita;productivo
17/8/2026;18:00;limpieza de casa;productivo
17/8/2026;19:00;tomar tecito;productivo
17/8/2026;20:30;repasar mis estudios;productivo
17/8/2026;22:00;alistarme para dormir;productivo
18/8/2026;06:00;sueño;productivo
18/8/2026;06:30;Levantarse;productivo
18/8/2026;07:00;Desayunar;productivo
18/8/2026;07:20;caminar a la U;productivo
18/8/2026;08:30;clases;productivo
18/8/2026;11:45;clases concluidas;no productivo
18/8/2026;13:30;llegar a casa;no productivo
18/8/2026;14:00;almuerzo;productivo
18/8/2026;16:30;cuidar a mi perrita;productivo
18/8/2026;18:00;limpieza de casa;productivo
18/8/2026;19:00;tomar tecito;productivo
18/8/2026;20:30;repasar mis estudios;productivo
18/8/2026;22:00;alistarme para dormir;productivo
19/8/2026;06:00;sueño;productivo
19/8/2026;06:30;Levantarse;productivo
19/8/2026;07:00;Desayunar;productivo
19/8/2026;07:20;caminar a la U;productivo
19/8/2026;08:30;clases;productivo
19/8/2026;11:45;clases concluidas;no productivo
19/8/2026;13:30;llegar a casa;no productivo
19/8/2026;14:00;almuerzo;productivo
19/8/2026;16:30;cuidar a mi perrita;productivo
19/8/2026;18:00;limpieza de casa;productivo
19/8/2026;19:00;tomar tecito;productivo
19/8/2026;20:30;repasar mis estudios;productivo
19/8/2026;22:00;alistarme para dormir;productivo
20/8/2026;06:00;sueño;productivo
20/8/2026;06:30;Levantarse;productivo
20/8/2026;07:00;Desayunar;productivo
20/8/2026;07:20;caminar a la U;productivo
20/8/2026;08:30;clases;productivo
20/8/2026;11:45;clases concluidas;no productivo
20/8/2026;13:30;llegar a casa;no productivo
20/8/2026;14:00;almuerzo;productivo
20/8/2026;16:30;cuidar a mi perrita;productivo
20/8/2026;18:00;limpieza de casa;productivo
20/8/2026;19:00;tomar tecito;productivo
20/8/2026;20:30;repasar mis estudios;productivo
20/8/2026;22:00;alistarme para dormir;productivo
21/8/2026;06:00;sueño;productivo
21/8/2026;06:30;Levantarse;productivo
21/8/2026;07:00;Desayunar;productivo
21/8/2026;07:20;caminar a la U;productivo
21/8/2026;08:30;clases;productivo
21/8/2026;11:45;clases concluidas;no productivo
21/8/2026;13:30;llegar a casa;no productivo
21/8/2026;14:00;almuerzo;productivo
21/8/2026;16:30;cuidar a mi perrita;productivo
21/8/2026;18:00;limpieza de casa;productivo
21/8/2026;19:00;tomar tecito;productivo
21/8/2026;20:30;repasar mis estudios;productivo
21/8/2026;22:00;alistarme para dormir;productivo
