FECHA;HORA;ACTIVIDAD
14/08/2026;10:00;leer un libro
14/08/2026;08:00;caminata
14/08/2026;17:30;dibujar
15/08/2026;11:00;leer un libro
15/08/2026;07:30;caminata
15/08/2026;16:30;dibujar
16/08/2026;09:00;leer un libro
16/08/2026;07:30;caminata
16/08/2026;16:00;dibujar
17/08/2026;12:15;leer un libro
17/08/2026;08:30;caminata
17/08/2026;17:00;dibujar
18/08/2026;11:20;leer un libro
18/08/2026;09:00;caminata
18/08/2026;19:00;dibujar
19/08/2026;12:00;leer un libro
19/08/2026;07:30;caminata
19/08/2026;14:00;dibujar
20/08/2026;11:00;leer un libro
20/08/2026;09:00;caminata
20/08/2026;17:00;dibujar
21/08/2026;11:00;leer un libro
21/08/2026;08:30;caminata
21/08/2026;17:30;dibujar
22/08/2026;11:00;leer un libro
22/08/2026;08:30;caminata
22/08/2026;17:00;dibujar
23/08/2026;10:00;leer un libro
23/08/2026;07:30;caminata
23/08/2026;17:30;dibujar
24/08/2026;10:00;leer un libro
24/08/2026;07:30;caminata
24/08/2026;17:30;dibujar
25/08/2026;19:00;leer un libro
25/08/2026;08:30;caminata
25/08/2026;17:30;dibujar
26/08/2026;10:00;leer un libro
26/08/2026;07:30;caminata
26/08/2026;17:30;dibujar
27/08/2026;10:00;leer un libro
27/08/2026;07:30;caminata
27/08/2026;18:30;dibujar
28/08/2026;10:30;leer un libro
28/08/2026;07:30;caminata
28/08/2026;18:00;dibujar
29/08/2026;10:30;leer un libro
29/08/2026;06:30;caminata
29/08/2026;17:45;dibujar
30/08/2026;09:00;leer un libro
30/08/2026;07:45;caminata
30/08/2026;17:30;dibujar
